SP_1.csv,SP_10.csv,SP_11.csv,SP_12.csv,SP_13.csv,SP_2.csv,SP_3.csv,SP_4.csv,SP_5.csv,SP_6.csv,SP_7.csv,SP_8.csv,SP_9.csv
54743.5000,41926.0000,52451.5000,46586.0000,40202.5000,40515.5000,35726.5000,33335.0000,32055.0000,50212.5000,44698.0000,38800.5000,42134.0000
55469.5000,42567.0000,53224.5000,47379.5000,40569.0000,41031.0000,36195.5000,33933.0000,32587.0000,51124.5000,45482.0000,39226.0000,42753.0000
56757.5000,43467.5000,54166.5000,48155.5000,41339.5000,41684.0000,36916.0000,34602.5000,33009.5000,52171.5000,46394.0000,40196.5000,43620.5000
58191.5000,44510.0000,55639.5000,49384.5000,42328.5000,42710.0000,37824.0000,35422.5000,33924.0000,53385.5000,47422.5000,41184.0000,44621.0000
59402.5000,45455.0000,56775.5000,50252.0000,43099.0000,43559.5000,38414.0000,36033.0000,34673.0000,54645.0000,48472.5000,41985.5000,45349.0000
60453.5000,46160.5000,57640.0000,51308.0000,43867.5000,44470.5000,39185.0000,36819.5000,35244.0000,55520.5000,49498.0000,42752.0000,46110.0000
61371.5000,47218.5000,58901.0000,52396.5000,45056.5000,45516.5000,40050.5000,37640.5000,35911.5000,56922.5000,50496.0000,43841.0000,47275.0000
62440.5000,48666.0000,61195.5000,54167.0000,46428.5000,46972.5000,41442.0000,38798.0000,37290.5000,59123.0000,52362.5000,45300.0000,48936.5000
63832.5000,50605.5000,62761.0000,56607.0000,48671.5000,49116.0000,43444.0000,40658.5000,38912.5000,61005.5000,54862.0000,47448.0000,51020.5000
64577.5000,53097.0000,64407.0000,59125.0000,51103.0000,51277.5000,45339.0000,42515.5000,40568.5000,62493.0000,57345.0000,49775.0000,53218.0000
64533.0000,55027.0000,64533.0000,61597.0000,53141.0000,53684.0000,47296.5000,44302.0000,42582.5000,63924.0000,59826.0000,52002.0000,55421.5000
64539.0000,57403.0000,64539.0000,62770.0000,55197.5000,55758.5000,49326.0000,46197.5000,44399.0000,64539.0000,61639.5000,54074.5000,57749.5000
64532.5000,59157.0000,64532.5000,63862.5000,57269.0000,57678.0000,51063.5000,47835.5000,45887.0000,64532.5000,62846.5000,55884.5000,59685.0000
64541.0000,60536.0000,64541.0000,64540.0000,58886.0000,59021.0000,52234.5000,48985.5000,46963.0000,64541.0000,63398.0000,57217.0000,61058.5000
64556.5000,60286.0000,64556.5000,64383.0000,58683.5000,59040.5000,52295.0000,49071.5000,47086.5000,64556.5000,63461.5000,57256.0000,60743.5000
64572.5000,58682.5000,64572.5000,63623.5000,56917.0000,57808.5000,51027.0000,47917.0000,46054.0000,64572.5000,62534.0000,55748.0000,58946.0000
64539.5000,55738.0000,64539.5000,61877.5000,54128.5000,54890.0000,48711.5000,45780.5000,43883.0000,64285.5000,60679.0000,52645.5000,56101.0000
64564.5000,52320.5000,64085.5000,58508.5000,50712.0000,51474.5000,45760.5000,42953.5000,41153.5000,62174.5000,56744.5000,49393.0000,52567.5000
62950.0000,48744.5000,61535.5000,54365.0000,47170.5000,47929.5000,42527.0000,40097.5000,38441.0000,59185.0000,52762.5000,45976.5000,48949.5000
60979.0000,45742.5000,57311.0000,50904.5000,44257.0000,44765.0000,39943.5000,37488.5000,36109.5000,55077.5000,49133.0000,42822.0000,45865.5000
57678.0000,43480.5000,54360.5000,48279.5000,41763.5000,42378.0000,37748.0000,35386.0000,34036.0000,52185.0000,46569.0000,40610.0000,43703.0000
55203.0000,41792.0000,52235.0000,46510.5000,40034.0000,40805.0000,36092.5000,34066.0000,32666.5000,50234.0000,44738.5000,38761.0000,41868.0000
53498.5000,40659.5000,50872.0000,45349.5000,38945.5000,39488.5000,35069.0000,32796.5000,31640.5000,48682.0000,43620.0000,37809.0000,40720.0000
52472.5000,40150.0000,50114.0000,44630.5000,38280.5000,38809.0000,34423.5000,32103.0000,31055.5000,48123.0000,42926.5000,37057.5000,40134.0000
52342.0000,39984.0000,50022.5000,44197.0000,38244.0000,38565.0000,34212.0000,31967.5000,30911.5000,47922.5000,42592.5000,36880.0000,40096.5000
52754.0000,40073.0000,49962.0000,44632.5000,38219.5000,38747.0000,34213.0000,32183.0000,30887.5000,48087.5000,42933.0000,36993.5000,40268.5000
53079.5000,40326.5000,50453.0000,44824.5000,38514.5000,38987.5000,34454.5000,32202.0000,31026.0000,48337.0000,43026.5000,37331.0000,40421.5000
53090.0000,40455.0000,50530.5000,44894.5000,38643.0000,39049.0000,34409.0000,32300.0000,30984.5000,48620.0000,43190.5000,37338.5000,40490.0000
53020.0000,40403.0000,50535.5000,44815.0000,38510.5000,38927.5000,34401.5000,32300.0000,30951.5000,48470.5000,43065.0000,37290.5000,40330.5000
52804.0000,40182.0000,50213.0000,44662.0000,38254.0000,38779.5000,34309.0000,32205.5000,30841.5000,48246.5000,42895.5000,37118.5000,40290.5000
52366.5000,39840.0000,49956.5000,44193.5000,38056.5000,38533.5000,34024.0000,31828.0000,30545.5000,47793.0000,42545.5000,36929.0000,39889.0000
51807.5000,39571.0000,49283.0000,43700.5000,37582.5000,38022.5000,33644.0000,31669.0000,30276.5000,47149.5000,42061.0000,36479.0000,39534.0000
51045.5000,38986.5000,48701.5000,43276.5000,37124.5000,37610.0000,33182.0000,31074.5000,29803.0000,46519.0000,41373.0000,35953.5000,38963.0000
50384.5000,38394.5000,47884.0000,42638.0000,36590.5000,37044.5000,32773.0000,30666.5000,29361.0000,45935.0000,40910.5000,35440.0000,38467.0000
49848.0000,38091.5000,47810.5000,42384.0000,36384.0000,36854.0000,32656.0000,30507.5000,29265.5000,45607.0000,40624.0000,35204.0000,38113.5000
49294.5000,37817.0000,47468.0000,41877.0000,36021.0000,36442.0000,32346.5000,30228.5000,28973.0000,45190.0000,40334.0000,34766.0000,37823.5000
49102.5000,37618.0000,47199.0000,41699.5000,35759.5000,36185.5000,31898.5000,30063.5000,28797.5000,44977.5000,40126.0000,34604.0000,37682.5000
48891.5000,37634.0000,46815.5000,41463.5000,35547.0000,35874.5000,31750.0000,29843.5000,28628.5000,44748.5000,39767.5000,34440.0000,37602.5000
48613.5000,37128.5000,46575.0000,41058.0000,35124.0000,35853.5000,31590.0000,29657.5000,28384.5000,44467.5000,39542.5000,34333.5000,37316.5000
48264.5000,37002.0000,46261.5000,40931.5000,35089.0000,35539.0000,31381.0000,29381.5000,28103.5000,44059.5000,39421.0000,33903.0000,37085.5000
48048.0000,36709.5000,45964.0000,40715.0000,34944.0000,35260.5000,31156.5000,29173.0000,27967.5000,43793.0000,39180.0000,33804.0000,36721.0000
47779.0000,36541.5000,45730.5000,40676.0000,34746.0000,35086.5000,31017.5000,29050.0000,27873.5000,43731.0000,38932.5000,33658.5000,36674.5000
47703.5000,36432.0000,45534.5000,40452.0000,34616.5000,34961.5000,30974.0000,29016.0000,27705.0000,43436.0000,38918.5000,33458.0000,36386.5000
47393.0000,36301.0000,45224.0000,40017.5000,34389.0000,34741.5000,30698.5000,28805.0000,27559.5000,43383.5000,38600.0000,33268.5000,36184.5000
47106.0000,36099.5000,45056.5000,40026.5000,34254.5000,34631.5000,30501.0000,28529.5000,27343.0000,43168.0000,38456.0000,33223.0000,36164.5000
46702.5000,35895.0000,44771.5000,39669.0000,34005.5000,34449.5000,30347.0000,28504.0000,27298.0000,42738.5000,38133.5000,32975.0000,35946.5000
46348.5000,35809.0000,44688.5000,39703.5000,33945.5000,34250.0000,30168.5000,28234.0000,27202.0000,42600.5000,37951.5000,32636.0000,35856.0000
46580.0000,35893.0000,44701.5000,39635.0000,33953.0000,34420.5000,30299.5000,28318.0000,27171.5000,42765.0000,38065.0000,32736.5000,35764.5000
46522.5000,35619.5000,44596.0000,39668.0000,33930.5000,34258.0000,30173.5000,28404.0000,27041.5000,42707.5000,38026.5000,32651.5000,35726.0000
46306.5000,35779.0000,44546.5000,39635.5000,33839.0000,34132.0000,30266.5000,28179.5000,27078.0000,42457.0000,37621.0000,32642.0000,35706.5000
46290.0000,35519.5000,44294.5000,39378.0000,33735.5000,34063.0000,30163.5000,28125.0000,26895.5000,42273.5000,37741.0000,32414.0000,35559.5000
