SP_21.csv,SP_22.csv,SP_23.csv,SP_24.csv,SP_25.csv,SP_26.csv,SP_27.csv,SP_28.csv,SP_29.csv,SP_30.csv,SP_31.csv,SP_32.csv,SP_33.csv,SP_34.csv,SP_35.csv,SP_36.csv,SP_37.csv,SP_38.csv,SP_39.csv
64736.5000,64736.5000,64736.5000,64736.5000,64736.5000,64736.5000,64736.5000,64736.5000,64736.5000,64736.5000,64736.5000,64736.5000,64736.5000,64736.5000,64736.5000,64736.5000,64736.5000,64736.5000,64736.5000
64725.5000,64725.5000,64725.5000,64725.5000,64725.5000,64725.5000,64725.5000,64725.5000,64725.5000,64725.5000,64725.5000,64725.5000,64725.5000,64725.5000,64725.5000,64725.5000,64725.5000,64725.5000,64725.5000
64302.5000,64302.5000,64302.5000,64302.5000,64302.5000,64302.5000,64302.5000,64302.5000,64302.5000,64302.5000,64302.5000,64302.5000,64302.5000,64302.5000,64302.5000,64302.5000,64302.5000,64302.5000,64302.5000
64734.5000,64734.5000,64734.5000,64734.5000,64734.5000,64734.5000,64734.5000,64734.5000,64734.5000,64734.5000,64734.5000,64734.5000,64734.5000,64734.5000,64734.5000,64734.5000,64734.5000,64734.5000,64734.5000
64754.0000,64754.0000,64754.0000,64754.0000,64754.0000,64754.0000,64754.0000,64754.0000,64754.0000,64754.0000,64754.0000,64754.0000,64754.0000,64754.0000,64754.0000,64754.0000,64754.0000,64754.0000,64754.0000
64702.5000,64702.5000,64702.5000,64702.5000,64702.5000,64702.5000,64702.5000,64702.5000,64702.5000,64702.5000,64702.5000,64702.5000,64702.5000,64702.5000,64702.5000,64702.5000,64702.5000,64702.5000,64702.5000
64677.5000,64677.5000,64677.5000,64677.5000,64677.5000,64677.5000,64677.5000,64677.5000,64677.5000,64677.5000,64677.5000,64677.5000,64677.5000,64677.5000,64677.5000,64677.5000,64677.5000,64677.5000,64677.5000
64733.0000,64733.0000,64733.0000,64733.0000,64733.0000,64733.0000,64733.0000,64733.0000,64733.0000,64733.0000,64733.0000,64733.0000,64733.0000,64733.0000,64733.0000,64733.0000,64733.0000,64733.0000,64733.0000
64736.5000,64736.5000,64736.5000,64736.5000,64736.5000,64736.5000,64736.5000,64736.5000,64736.5000,64736.5000,64736.5000,64736.5000,64736.5000,64736.5000,64736.5000,64736.5000,64736.5000,64736.5000,64736.5000
64699.5000,64699.5000,64699.5000,64699.5000,64699.5000,64699.5000,64699.5000,64699.5000,64699.5000,64699.5000,64699.5000,64699.5000,64699.5000,64699.5000,64699.5000,64699.5000,64699.5000,64699.5000,64699.5000
64739.5000,64739.5000,64739.5000,64739.5000,64739.5000,64739.5000,64739.5000,64739.5000,64739.5000,64739.5000,64739.5000,64739.5000,64739.5000,64739.5000,64739.5000,64739.5000,64739.5000,64739.5000,64739.5000
64739.0000,64739.0000,64739.0000,64739.0000,64739.0000,64739.0000,64739.0000,64739.0000,64739.0000,64739.0000,64739.0000,64739.0000,64739.0000,64739.0000,64739.0000,64739.0000,64739.0000,64739.0000,64739.0000
64713.0000,64713.0000,64713.0000,64713.0000,64713.0000,64713.0000,64713.0000,64713.0000,64713.0000,64713.0000,64713.0000,64713.0000,64713.0000,64713.0000,64713.0000,64713.0000,64713.0000,64713.0000,64713.0000
64695.0000,64695.0000,64695.0000,64695.0000,64695.0000,64695.0000,64695.0000,64695.0000,64695.0000,64695.0000,64695.0000,64695.0000,64695.0000,64695.0000,64695.0000,64695.0000,64695.0000,64695.0000,64695.0000
64729.5000,64729.5000,64729.5000,64729.5000,64729.5000,64729.5000,64729.5000,64729.5000,64729.5000,64729.5000,64729.5000,64729.5000,64729.5000,64729.5000,64729.5000,64729.5000,64729.5000,64729.5000,64729.5000
64669.5000,64669.5000,64669.5000,64669.5000,64669.5000,64669.5000,64669.5000,64669.5000,64669.5000,64669.5000,64669.5000,64669.5000,64669.5000,64669.5000,64669.5000,64669.5000,64669.5000,64669.5000,64669.5000
64743.5000,64743.5000,64743.5000,64743.5000,64743.5000,64743.5000,64743.5000,64743.5000,64743.5000,64743.5000,64743.5000,64743.5000,64743.5000,64743.5000,64743.5000,64743.5000,64743.5000,64743.5000,64743.5000
64698.0000,64698.0000,64698.0000,64698.0000,64698.0000,64698.0000,64698.0000,64698.0000,64698.0000,64698.0000,64698.0000,64698.0000,64698.0000,64698.0000,64698.0000,64555.5000,64698.0000,64698.0000,64698.0000
64724.5000,64724.5000,64724.5000,64724.5000,64724.5000,64724.5000,64724.5000,64724.5000,64724.5000,64724.5000,64724.5000,64724.5000,64724.5000,64724.5000,64724.5000,64171.0000,64724.5000,64724.5000,64724.5000
64741.5000,64741.5000,64741.5000,64741.5000,64741.5000,64741.5000,64741.5000,64741.5000,64741.5000,64741.5000,64741.5000,64741.5000,64741.5000,64741.5000,64594.5000,63683.0000,64741.5000,64741.5000,64741.5000
64722.5000,64722.5000,64722.5000,64722.5000,64722.5000,64722.5000,64722.5000,64722.5000,64722.5000,64722.5000,64722.5000,64722.5000,64722.5000,64722.5000,63890.0000,62652.5000,64722.5000,64722.5000,64722.5000
64735.5000,64735.5000,64735.5000,64735.5000,64735.5000,64735.5000,64735.5000,64735.5000,64735.5000,64735.5000,64735.5000,64735.5000,64735.5000,64735.5000,62945.5000,61583.0000,64735.5000,64735.5000,64735.5000
64754.5000,64754.5000,64754.5000,64754.5000,64754.5000,64754.5000,64754.5000,64754.5000,64754.5000,64754.5000,64754.5000,64754.5000,64746.5000,64468.0000,61723.5000,60375.0000,64754.5000,64754.5000,64754.5000
64725.5000,64725.5000,64725.5000,64725.5000,64725.5000,64725.5000,64725.5000,64725.5000,64725.5000,64725.5000,64725.5000,64476.5000,63451.0000,62880.0000,60027.0000,58651.5000,64725.5000,64725.5000,64725.5000
64714.0000,64714.0000,64714.0000,64714.0000,64714.0000,64714.0000,64714.0000,64714.0000,64714.0000,64714.0000,64714.0000,62275.0000,60717.0000,60342.5000,57768.5000,56521.5000,64714.0000,64714.0000,64714.0000
64740.0000,64740.0000,64740.0000,64740.0000,64740.0000,64740.0000,64740.0000,64740.0000,64564.5000,64740.0000,64740.0000,59345.5000,58247.0000,57730.0000,55248.0000,54079.0000,64740.0000,64740.0000,64740.0000
64758.5000,64758.5000,64758.5000,64758.5000,64758.5000,64758.5000,64758.5000,63177.5000,61204.5000,64758.5000,64758.5000,56132.5000,54944.0000,54396.0000,52271.5000,51051.0000,64758.5000,64758.5000,64758.5000
64723.5000,64723.5000,64723.5000,64723.5000,64723.5000,64723.5000,63119.0000,58829.5000,57030.0000,64723.5000,64723.5000,52491.0000,51126.0000,50529.0000,48695.5000,47353.0000,64723.5000,64723.5000,64723.5000
64728.0000,64728.0000,64728.0000,64728.0000,64728.0000,64728.0000,58563.5000,54420.5000,52691.5000,64728.0000,64475.0000,48337.5000,47054.5000,46699.0000,44897.0000,43851.5000,64728.0000,64728.0000,64728.0000
