SP_61.csv,SP_62.csv,SP_63.csv,SP_65.csv,SP_67.csv,SP_68.csv,SP_69.csv,SP_70.csv,SP_71.csv,SP_72.csv,SP_73.csv,SP_74.csv,SP_75.csv,SP_76.csv
64741.5000,64741.5000,64741.5000,64741.5000,64741.5000,64741.5000,64741.5000,64741.5000,64741.5000,64741.5000,64741.5000,64741.5000,64741.5000,64741.5000
64722.5000,64722.5000,64722.5000,64722.5000,64722.5000,64722.5000,64722.5000,64722.5000,64722.5000,64722.5000,64722.5000,64722.5000,64722.5000,64722.5000
64735.5000,64735.5000,64735.5000,64735.5000,64735.5000,64735.5000,64735.5000,64735.5000,64735.5000,64735.5000,64735.5000,64735.5000,64735.5000,64735.5000
64754.5000,64754.5000,64754.5000,64754.5000,64754.5000,64754.5000,64754.5000,64754.5000,64754.5000,64754.5000,64754.5000,64754.5000,64754.5000,64754.5000
64725.5000,64725.5000,64725.5000,64725.5000,64725.5000,64725.5000,64725.5000,64725.5000,64725.5000,64725.5000,64725.5000,64725.5000,64725.5000,64725.5000
64714.0000,64714.0000,64714.0000,64714.0000,64714.0000,64714.0000,64714.0000,64714.0000,64714.0000,64714.0000,64714.0000,64714.0000,64714.0000,64714.0000
64740.0000,64740.0000,64740.0000,64740.0000,64740.0000,64740.0000,64740.0000,64740.0000,64740.0000,64740.0000,64740.0000,64740.0000,64740.0000,64740.0000
64758.5000,64758.5000,64758.5000,64758.5000,64758.5000,64758.5000,64758.5000,64758.5000,64758.5000,64758.5000,64758.5000,64758.5000,64758.5000,64758.5000
64723.5000,64723.5000,64723.5000,64723.5000,64723.5000,64723.5000,64723.5000,64723.5000,64723.5000,64723.5000,64723.5000,64723.5000,64723.5000,64723.5000
64728.0000,64728.0000,64728.0000,64728.0000,64728.0000,64728.0000,64728.0000,64728.0000,64728.0000,64728.0000,64728.0000,64728.0000,64728.0000,64728.0000
64753.0000,64753.0000,64753.0000,64753.0000,64753.0000,64753.0000,64753.0000,64753.0000,64753.0000,64753.0000,64753.0000,64753.0000,64753.0000,64753.0000
64709.5000,64709.5000,64709.5000,64709.5000,64709.5000,64709.5000,64709.5000,64709.5000,64709.5000,64709.5000,64709.5000,64709.5000,64709.5000,64709.5000
64742.5000,64742.5000,64742.5000,64742.5000,64742.5000,64742.5000,64742.5000,64742.5000,64742.5000,64742.5000,64742.5000,64742.5000,64742.5000,64742.5000
64715.5000,64715.5000,64715.5000,64715.5000,64715.5000,64715.5000,64715.5000,64715.5000,64715.5000,64715.5000,64715.5000,64715.5000,64715.5000,64715.5000
64778.5000,64778.5000,64778.5000,64778.5000,64778.5000,64778.5000,64778.5000,64778.5000,64778.5000,64778.5000,64778.5000,64778.5000,64778.5000,64778.5000
64730.0000,64730.0000,64730.0000,64730.0000,64730.0000,64730.0000,64730.0000,64730.0000,64730.0000,64730.0000,64730.0000,64730.0000,64730.0000,64730.0000
64722.5000,64722.5000,64722.5000,64722.5000,64722.5000,64722.5000,64722.5000,64722.5000,64722.5000,64722.5000,64722.5000,64722.5000,64722.5000,64722.5000
