SP_23.csv,SP_24.csv,SP_25.csv,SP_26.csv,SP_27.csv,SP_28.csv,SP_29.csv,SP_30.csv,SP_31.csv,SP_36.csv,SP_37.csv,SP_38.csv,SP_39.csv,SP_40.csv
4755.5000,4396.5000,5603.5000,5401.5000,4726.0000,4137.0000,4620.5000,3953.5000,4598.5000,7418.0000,7098.0000,7291.0000,7355.5000,6791.0000
4750.5000,4451.5000,5613.0000,5386.0000,4789.0000,4113.0000,4662.5000,3910.5000,4598.5000,7395.5000,7102.0000,7244.0000,7368.0000,6861.5000
4768.5000,4408.0000,5612.5000,5458.0000,4774.0000,4159.0000,4662.0000,3943.5000,4647.0000,7326.5000,7091.5000,7257.0000,7348.0000,6827.5000
4691.5000,4353.5000,5537.0000,5380.0000,4749.5000,4135.0000,4677.0000,3976.5000,4584.5000,7374.0000,7104.5000,7173.0000,7299.0000,6797.0000
4699.5000,4358.5000,5581.0000,5385.5000,4769.5000,4119.0000,4676.0000,3935.5000,4569.0000,7419.5000,7076.5000,7213.5000,7341.0000,6839.0000
4725.0000,4411.0000,5586.5000,5371.5000,4799.0000,4145.5000,4684.0000,3917.0000,4565.5000,7424.5000,7164.5000,7239.5000,7390.0000,6795.5000
4718.0000,4440.0000,5686.0000,5391.5000,4748.0000,4097.5000,4651.0000,3930.0000,4631.5000,7455.0000,7076.0000,7222.5000,7287.0000,6756.0000
4802.0000,4432.0000,5619.0000,5487.0000,4791.0000,4129.5000,4688.0000,3985.5000,4638.0000,7354.0000,7125.0000,7207.5000,7383.5000,6854.5000
4777.0000,4398.5000,5626.0000,5426.5000,4822.5000,4111.5000,4673.0000,3953.5000,4585.5000,7409.5000,7077.5000,7267.0000,7376.0000,6821.5000
4763.5000,4412.5000,5657.5000,5460.5000,4832.0000,4131.5000,4771.0000,3978.5000,4615.5000,7368.5000,7116.5000,7296.5000,7459.5000,6860.0000
4775.0000,4448.0000,5629.5000,5421.0000,4835.5000,4168.5000,4731.5000,3991.0000,4671.0000,7462.0000,7137.0000,7265.0000,7465.0000,6846.5000
4830.0000,4457.0000,5671.0000,5509.5000,4859.0000,4149.0000,4744.0000,4043.5000,4692.0000,7498.5000,7092.5000,7263.5000,7422.5000,6905.0000
4838.5000,4437.0000,5689.0000,5533.5000,4847.5000,4186.5000,4761.0000,4016.5000,4731.5000,7458.0000,7137.5000,7259.0000,7506.5000,6919.0000
4855.0000,4458.5000,5706.5000,5489.5000,4897.5000,4180.5000,4692.0000,3965.0000,4671.0000,7403.5000,7144.0000,7309.5000,7479.0000,6877.5000
4881.5000,4525.0000,5764.0000,5462.5000,4860.0000,4180.0000,4772.5000,3982.5000,4661.0000,7509.5000,7244.5000,7385.5000,7443.5000,6990.5000
4851.0000,4537.0000,5724.5000,5500.5000,4831.5000,4232.0000,4816.0000,4064.0000,4713.5000,7575.0000,7257.0000,7347.5000,7453.5000,6965.0000
