Task,TaskName,Model,Preprocess,Fold,MacroF1,BalancedAcc,Accuracy
T3b_mba_3c,MBA Semi-Quant,1D-CNN,p1,4,0.7729037267080745,0.7855109142676368,0.8354430379746836
T1_thiram_conc,Thiram Concentration,1D-ResNet,p1,0,0.4870317782285328,0.476909097463932,0.5023474178403756
T1_thiram_conc,Thiram Concentration,1D-ResNet,p1,1,0.502947274436504,0.5397859143657463,0.49246231155778897
T1_thiram_conc,Thiram Concentration,1D-ResNet,p1,2,0.6035448514574377,0.5946794871794873,0.5959595959595959
T1_thiram_conc,Thiram Concentration,1D-ResNet,p1,3,0.6786531622597197,0.761170913576094,0.7043010752688172
T1_thiram_conc,Thiram Concentration,1D-ResNet,p1,4,0.38898900183364765,0.42437423687423687,0.3924050632911392
T2_mg_conc,MG Concentration,1D-ResNet,p1,0,0.3404287829991302,0.3687469937469937,0.37089201877934275
T2_mg_conc,MG Concentration,1D-ResNet,p1,1,0.4146843146822815,0.41210768203468884,0.4472361809045226
T2_mg_conc,MG Concentration,1D-ResNet,p1,2,0.4187366623986342,0.41614382239382236,0.2878787878787879
T2_mg_conc,MG Concentration,1D-ResNet,p1,3,0.24992762784762265,0.3077898550724638,0.34408602150537637
T2_mg_conc,MG Concentration,1D-ResNet,p1,4,0.23934356351236147,0.35,0.3924050632911392
T3_mba_conc,MBA Concentration,1D-ResNet,p1,0,0.550038310513105,0.5558678738026563,0.6197183098591549
T3_mba_conc,MBA Concentration,1D-ResNet,p1,1,0.46455866406959617,0.5316361882675007,0.4723618090452261
T3_mba_conc,MBA Concentration,1D-ResNet,p1,2,0.4567428186545872,0.5566123188405797,0.5151515151515151
T3_mba_conc,MBA Concentration,1D-ResNet,p1,3,0.30384342142654164,0.26349129593810444,0.2956989247311828
T3_mba_conc,MBA Concentration,1D-ResNet,p1,4,0.7555570615342911,0.8171215550525895,0.740506329113924
T4_thiram_pres,Thiram Presence,1D-ResNet,p1,0,0.7229768786127169,0.6905063291139241,0.8309859154929577
T4_thiram_pres,Thiram Presence,1D-ResNet,p1,1,0.48693875565500805,0.5141496598639456,0.7336683417085427
T4_thiram_pres,Thiram Presence,1D-ResNet,p1,2,0.6557852037859765,0.6320833333333333,0.8181818181818182
T4_thiram_pres,Thiram Presence,1D-ResNet,p1,3,0.6677940338210147,0.6653660349312522,0.7473118279569892
T4_thiram_pres,Thiram Presence,1D-ResNet,p1,4,0.6273584905660378,0.6889799635701275,0.6708860759493671
T5_mg_pres,MG Presence,1D-ResNet,p1,0,0.6155838041431262,0.6046470999301188,0.784037558685446
T5_mg_pres,MG Presence,1D-ResNet,p1,1,0.5608859104282445,0.5574737141233305,0.7286432160804021
T5_mg_pres,MG Presence,1D-ResNet,p1,2,0.6376843739602972,0.6357890148212728,0.6666666666666666
T5_mg_pres,MG Presence,1D-ResNet,p1,3,0.5494599018003273,0.5556506849315068,0.8010752688172043
T5_mg_pres,MG Presence,1D-ResNet,p1,4,0.5457372528310743,0.5631349782293179,0.689873417721519
T6_mba_pres,MBA Presence,1D-ResNet,p1,0,0.7488497907659584,0.7659926113163523,0.7605633802816901
T6_mba_pres,MBA Presence,1D-ResNet,p1,1,0.6471631205673759,0.6406603346901855,0.7085427135678392
