Task,TaskName,Model,Preprocess,F1_mean,F1_std,BA_mean,BA_std,Acc_mean,Acc_std
T4_thiram_pres,Thiram Presence,Feature-KAN,raw,0.7911550146340367,0.0765516549443698,0.836890037755253,0.0863444235823798,0.8222092385324998,0.058154371976938
T5_mg_pres,MG Presence,Feature-KAN,raw,0.6526062909847163,0.0898367159905014,0.7160195426015525,0.0987840122956563,0.6903105791803474,0.0889597112802869
T6_mba_pres,MBA Presence,Feature-KAN,raw,0.761991647631669,0.153468704584444,0.7750208206672763,0.1523439172681274,0.7949602347922892,0.1338776374946539
T7_mixture_order,Mixture Complexity,Feature-KAN,raw,0.634064156243505,0.1106737388288226,0.6469513138870806,0.1133501016605113,0.6414062872346878,0.0986882188447821
T1b_thiram_3c,Thiram Semi-Quant,Feature-KAN,raw,0.6849366991421927,0.0449704023899581,0.7291439254012997,0.0335335549830966,0.6883113969249852,0.0501867176385367
T2b_mg_3c,MG Semi-Quant,Feature-KAN,raw,0.6143647470607111,0.0477286626188521,0.6503655110469959,0.0665413310162587,0.6357045931383726,0.0466364053977601
T3b_mba_3c,MBA Semi-Quant,Feature-KAN,raw,0.6357608069553914,0.1827815351513816,0.6844842826300991,0.2068242815040709,0.6332594927433087,0.1833353869917087
T1_thiram_conc,Thiram Concentration,KAN-CNN,raw,0.2868296830722306,0.2052344902477482,0.3578665613143688,0.1458762666785647,0.3329913876133868,0.1073478441165006
T2_mg_conc,MG Concentration,KAN-CNN,raw,0.3015078174234024,0.1393248521423484,0.3675477133788786,0.1141772881880102,0.3337286471126352,0.1671710972949027
T3_mba_conc,MBA Concentration,KAN-CNN,raw,0.3974581415354992,0.1164811326484629,0.4609782391538646,0.1580401874034458,0.4231894729518373,0.1150741121690668
T4_thiram_pres,Thiram Presence,KAN-CNN,raw,0.5536280800011337,0.102317447917722,0.5910359183701452,0.0972647546094594,0.6107810136560997,0.0898051971736731
T5_mg_pres,MG Presence,KAN-CNN,raw,0.5911343748827393,0.0966298226396498,0.6158697904889504,0.0684833034284733,0.6767398083143559,0.1133818754532916
T6_mba_pres,MBA Presence,KAN-CNN,raw,0.6687642800859672,0.135366358152106,0.6994023410599046,0.1682979470830649,0.7170902492244681,0.1480778549941816
T7_mixture_order,Mixture Complexity,KAN-CNN,raw,0.4791569985607535,0.1451250094478875,0.4952941863799897,0.1517872132846761,0.517321110699039,0.139059071883019
T1_thiram_conc,Thiram Concentration,PLS-DA,raw,0.6264571990314741,0.1057300413265762,0.6247246100020859,0.1094255151150895,0.599450893071935,0.1163250746791523
T1_thiram_conc,Thiram Concentration,RF,raw,0.5649772063125746,0.0890454526531676,0.5985684865471961,0.0649275606420018,0.585051259192088,0.0776016158743153
